詳細,午後の紅茶ストレートティー,アクエリアス,ポカリスエット,午後の紅茶レモンティー,スプライト,マッチ,CCレモン,ファンタグレープ,ファンタオレンジ,三ツ矢サイダー,コカコーラ,ペプシ
砂糖数,5,5.9,5.9,8.7,10,12.1,12.5,12.5,13.1,13.1,14,15
カロリー,80kcal,95kcal,95kcal,140kcal,160kcal,195kcal,200kcal,200kcal,210kcal,210kcal,225kcal,240kcal
