国名,仕事,家事,家族の世話(育児・介護),睡眠,余暇
アメリカ,193,120,39,538,266
イタリア,84,205,35,512,281
インド,149,298,37,521,221
スペイン,121,163,45,511,284
中国,228,155,33,544,211
トルコ,85,222,46,518,270
日本,218,141,41,438,252
ノルウェー,129,114,34,501,366
フランス,118,157,30,516,270
南アフリカ,116,183,30,557,282
