大学, オックスフォード, ケンブリッジ, ハイデルべルグ, ハーバード, エール, トロント, メルボルン, 東京, カイロ, マケレレ
開学, 1167, 1209, 1385, 1636, 1701, 1843, 1853, 1877, 1908, 1922
女性の入学許可年, 1920, 1948, 1900, 1977, 1969, 1884, 1881, 1946, 1928, 1945
