都道府県,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
雪の時間,654,744,134,172,392,410,238,16,33,24,7,13,11,9,434,484,452,403,7,190,96,3,41,19,33,49,22,26,37,42,305,229,11,88,58,17,11,22,6,112,33,21,38,1,1,22,0
アイスクリーム支出金額,10509,9723,11224,10068,8405,12422,12256,10183,10029,9904,13134,10282,9983,11356,10837,10481,11896,8426,9215,11555,10857,9669,10256,10217,10221,9850,10564,10232,9524,9290,9359,8431,11088,11157,9219,8136,9297,11458,10593,10973,9783,10202,11272,9207,9854,9380,8594
